"","X","r.id","id","institutionCode","collectionCode","ownerInstitutionCode","collectionID","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","lifeStage","sex","individualCount","preparations","country","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","rights","rightsHolder","accessRights","recordId","references","scinam"
"26764",29827,36610,"1074602","MIL","VP","","b72febed-41ee-41c4-8e65-00424d35d488","PreservedSpecimen","391ff61b-89f4-4f49-93ba-f47fd4c24dce","B117875","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","David A. Kopitzke","DK-70-50","25766",1970,7,17,198,198,"25766","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Washington","Kewaskum","","",43.5067,-88.19048,"","","","","","","","",NA,NA,NA,NA,NA,"","","","","43230.35069","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:b870ae95-2fd8-4f6d-b368-3b1a47f38cae","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=1074602",NA
"27109",30196,36984,"188150","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","b5760e5e-6b0c-43d6-94c8-2fad20d810c5","453726","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Moore, John","45","26109",1971,6,25,176,176,"","","","","",NA,"","","",NA,"",NA,NA,"single sheet","United States","Minnesota","Sherburne","","SE1/4 Sec. 36 W. of Durgin Slough;Sherburne National Wildlife Refuge;035N;28W;36","",45.47981,-93.76881,"WGS84","800","","mcman110 (2016-03-01 15:14:21)","","georef batch tool 2016-03-01; GeoLocate","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","43158.44167","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:b5760e5e-6b0c-43d6-94c8-2fad20d810c5","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=188150",NA
"27311",30424,37214,"638151","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af54c8-f95b-11e2-9dec-002590257708","v0017296WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Hansen, Bruce F.; Hansen, JoAnn","396","26156",1971,8,11,223,223,"","","grassy bank of lake with Linaria vulgaris, Solidago spp., Asparagus, Verbascum and Equisetum","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Kewaunee","","Lake Michigan","",44.3492,-87.53681,"58519","569","T22N R24E sec25","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:2b3908df-bc30-4408-b997-66019b65b63f","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638151",NA
"27314",30429,37219,"638293","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b0bc50-f95b-11e2-9dec-002590257708","v0017438WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Mori, Scott A.","854","26158",1971,8,13,225,225,"","","along roadside","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Wood","","3mi N of Finley on Hwy 80","",44.25643,-90.11119,"60905","1138","T21N R03E sec35","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:85db2d3d-57c2-4868-8977-d5e3fbdbf609","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638293",NA
"27378",30499,37295,"638240","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b04b4e-f95b-11e2-9dec-002590257708","v0017385WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Nee, Mike","4632","26171",1971,8,26,238,238,"","","with Phleum pratense, Solidago graminifolia, S. canadensis in old field","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Sawyer","","N/A","",45.9581,-91.14503,"60886","285","T40N R06W sec08","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:0bb723e3-1141-4f55-9cb3-199ba8382518","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638240",NA
"27672",30812,37615,"538879","UWGB","VP","","e4db476a-383b-410b-be2a-b796ad6f9926","PreservedSpecimen","ab41d4e6-f95b-11e2-9dec-002590257708","UWGB10783","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Freckmann, Sally K.","s.n.","26474",1972,6,24,176,176,"","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.32827,-89.65748,"16993","1138","T21N R07E sec03","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","42713.55903","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:152a483c-5f5e-4bf5-b893-361ba2d1c671","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=538879",NA
"27673",30813,37616,"638594","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b3f726-f95b-11e2-9dec-002590257708","v0017739WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Freckmann, Sally K.","s.n.","26474",1972,6,24,176,176,"","","sandy field.","","",NA,"common; ex herb UW-Stevens Point","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.32827,-89.65748,"35312","1138","T21N R07E sec03","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:2eee5c46-747d-46bf-829d-cca22f373426","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638594",NA
"27721",30868,37673,"533171","UWEC","VP","","40f4d176-ade8-4036-8c1d-4e6b5ebcf545","PreservedSpecimen","ab320642-f95b-11e2-9dec-002590257708","UWEC02328","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Iltis, Hugh H.","34700","","","","","","Sommer, Richard","72-768","26486",1972,7,6,188,188,"","","Waste area.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.48302,-89.31453,"15712","","T23N R10E sec08","","","","","",NA,NA,NA,NA,NA,"","","","","42438.87014","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:d9bec5c9-bd34-43bc-9b58-3c7c365593fd","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=533171",NA
"27728",30875,37680,"35979","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","84811597-1c58-42df-91b9-e6a29f834ca3","627707","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Ownbey, Gerald","4534","26488",1972,7,8,190,190,"","","Old field","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Washington","","Afton Hills, 0.5 mi. S of Afton;;028N;20W;","",44.90717,-92.81202,"WGS84","10000","","mcman110 (2016-03-02 10:13:39)","","georef batch tool 2016-03-02","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42431.46736","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:84811597-1c58-42df-91b9-e6a29f834ca3","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=35979",NA
"27729",30876,37681,"533173","UWEC","VP","","40f4d176-ade8-4036-8c1d-4e6b5ebcf545","PreservedSpecimen","ab320b06-f95b-11e2-9dec-002590257708","UWEC02330","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Iltis, Hugh H.","34700","","","","","","Sommer, Richard","72-815","26488",1972,7,8,190,190,"","","Roadside.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.51878,-89.46767,"15272","","T24N R09E sec31","","","","","",NA,NA,NA,NA,NA,"","","","","42438.87014","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:dc85c100-b3f1-4dbc-bba3-f6d448de79e9","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=533173",NA
"27744",30892,37697,"533172","UWEC","VP","","40f4d176-ade8-4036-8c1d-4e6b5ebcf545","PreservedSpecimen","ab3208a4-f95b-11e2-9dec-002590257708","UWEC02329","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Iltis, Hugh H.","34700","","","","","","Sommer, Richard","72-845","26492",1972,7,12,194,194,"","","Upland forest edge.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.58925,-89.43647,"15108","","T24N R09E sec05","","","","","",NA,NA,NA,NA,NA,"","","","","42438.87014","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:05426a79-2fe1-4b8d-88c5-1a2ad403a842","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=533172",NA
"27750",30898,37703,"35928","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","1ea49b2e-c49e-4948-be3c-4c9e67dd5880","305878","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Corbyn, R.","s.n.","26494",1972,7,14,196,196,"","","Along roadside","","",NA,"","","",NA,"",NA,NA,"single sheet","United States","Minnesota","Wright","","Wright County ... Entrance to Camp Courage off co. rd. #7, 3 3/4 mi from jnc of #7 & hwy 55.;;120N;27W;","",45.19557,-94.07384,"WGS84","10000","","mcman110 (2016-03-02 11:42:20)","","georef batch tool 2016-03-02; GeoLocate","reviewed - high confidence","",610,NA,NA,NA,NA,"1000-2000 ft.","","","","43158.44167","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:1ea49b2e-c49e-4948-be3c-4c9e67dd5880","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=35928",NA
"27855",31020,37828,"35980","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","a295e52d-9ef6-4548-a486-c5fc0162ec33","635001","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Lindayen, T.","122","26512",1972,8,1,214,214,"","","Sandy-clay soil, bank of road ditch","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Washington","","T30N, R21W, SE1/4 Sec. 15, 3.9 mi. due E of Hwy. 96 from jct. of 96 and 244.;;030N;21W;15","",45.0867,-92.91392,"WGS84","800","","mcman110 (2016-03-02 10:21:46)","","georef batch tool 2016-03-02","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42431.47292","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:a295e52d-9ef6-4548-a486-c5fc0162ec33","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=35980",NA
"28011",31192,38000,"633755","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b322d688-f95b-11e2-9dec-002590257708","v0012887WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Hansen, Bruce F.; Hansen, JoAnn","1287","26536",1972,8,25,238,238,"","","Weed at edge of corn field. with Echinocystis lobata.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Barron","","2.5 NW of Cameron","",45.43538,-91.78333,"58333","285","T34N R11W sec18","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:7e97c768-bedc-4e81-b78d-7a88696d5e49","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=633755",NA
"28024",31207,38015,"638259","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b06ea8-f95b-11e2-9dec-002590257708","v0017404WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Lonsdorf, Charles","s.n.","26537",1972,8,26,239,239,"","","open field in sandy soil with Tanacetum vulgare and Epilobium angustifolium.","","",NA,"common","","",NA,"",NA,NA,"","United States","Wisconsin","Vilas","","N/A","",46.19211,-89.6493,"54430","1138","T43N R07E sec20","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:d8e36409-6845-4834-a915-14f3c3197d41","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638259",NA
"28546",31749,38562,"638123","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af2002-f95b-11e2-9dec-002590257708","v0017267WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Wurster, K. E.; Burch,","27","26844",1973,6,29,180,180,"","","next to woods.","","",NA,"Sheet 1 of 3.","","",NA,"",NA,NA,"","United States","Wisconsin","Green Lake","","50 yards E of Heart Lake","",43.72693,-89.07622,"54443","1138","T15N R12E sec33","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:9fb67bb1-c3ec-45f0-b031-533808c8abd0","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638123",NA
"28547",31750,38563,"638124","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af228c-f95b-11e2-9dec-002590257708","v0017268WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Wurster, K. E.; Burch,","27","26844",1973,6,29,180,180,"","","next to woods.","","",NA,"Sheet 2 of 3.","","",NA,"",NA,NA,"","United States","Wisconsin","Green Lake","","50 yards E of Heart Lake","",43.72693,-89.07622,"54443","1138","T15N R12E sec33","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:e16a4e0d-d2fc-405f-b6f5-f8965ffdab53","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638124",NA
"28548",31751,38564,"638125","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af2476-f95b-11e2-9dec-002590257708","v0017269WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Wurster, K. E.; Burch,","27","26844",1973,6,29,180,180,"","","next to woods.","","",NA,"Sheet 3 of 3.","","",NA,"",NA,NA,"","United States","Wisconsin","Green Lake","","50 yards E of Heart Lake","",43.72693,-89.07622,"54443","1138","T15N R12E sec33","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:6e445b60-71f2-4d5a-a871-11b08abc6f42","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638125",NA
"28559",31767,38580,"638261","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b07268-f95b-11e2-9dec-002590257708","v0017406WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Linderud, David","101","26845",1973,6,30,181,181,"","","sunny fields, openings and roadsides.","","",NA,"Flowers pinkish. Common. Sheet 1 of 2. [June 31 - original date in error]","","",NA,"",NA,NA,"","United States","Wisconsin","Walworth","","2mi W of Genoa City","",42.5019,-88.37343,"51901","1138","T01N R18E sec33","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:393e8b1b-6b4d-4104-99b2-abd78437cf15","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638261",NA
"28560",31768,38581,"638262","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b07448-f95b-11e2-9dec-002590257708","v0017407WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Linderud, David","101","26845",1973,6,30,181,181,"","","sunny fields, openings and roadsides.","","",NA,"Flowers pinkish. Common. Sheet 2 of 2. [June 31 - original date in error]","","",NA,"",NA,NA,"","United States","Wisconsin","Walworth","","2mi W of Genoa City","",42.5019,-88.37343,"51901","1138","T01N R18E sec33","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:3959383e-24fe-48d0-b8e9-5d44a68d4d0f","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638262",NA
"28576",31787,38600,"638255","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b06746-f95b-11e2-9dec-002590257708","v0017400WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Kline, V.","s.n.","26846",1973,7,1,182,182,"","Sheet 1 of 2.","Woods dominated by Acer saccharum.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Vernon","","N/A","",43.66082,-90.50192,"60894","1138","T14N R01W sec28","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:900dd1d1-0cc3-44b2-8f1a-1f3d4ec780c9","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638255",NA
"28577",31788,38601,"638256","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b0691c-f95b-11e2-9dec-002590257708","v0017401WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Kline, V.","s.n.","26846",1973,7,1,182,182,"","Sheet 2 of 2.","Woods dominated by Acer saccharum.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Vernon","","N/A","",43.66082,-90.50192,"60894","1138","T14N R01W sec28","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:e9fcd8ba-8189-4008-92a3-c68626a742fd","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638256",NA
"28609",31824,38637,"638603","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b407e8-f95b-11e2-9dec-002590257708","v0017748WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Lesnick, C. L.","5","26849",1973,7,4,185,185,"","","near woods, well lit.","","",NA,"fls. purple, stem milky","","",NA,"",NA,NA,"","United States","Wisconsin","Washburn","","off Hwy 48, E of Red Cedar Lake","",45.6453,-91.59178,"61120","1138","T37N R10W sec34","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:40d4ed2a-76d1-49e4-b184-16fb61883f28","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638603",NA
"28610",31825,38638,"639369","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3bb9418-f95b-11e2-9dec-002590257708","v0018515WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Thielmann, Daniel","7","26849",1973,7,4,185,185,"","","Black and clay soil. In ditch, along farmer fence.","","",NA,"Greenish white flowers","","",NA,"",NA,NA,"","United States","Wisconsin","Calumet","","SW corner of Grass Lake","",44.14979,-88.05881,"61609","569","T19N R20E sec01","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:535d0697-0ba3-4863-95db-6e9e38d9b9e6","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=639369",NA
"28627",31848,38661,"721707","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","bc38cc14-f95b-11e2-9dec-002590257708","v0102126WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Fishbein, Mark","37104","","","","","","Stahmann, C.","84","26850",1973,7,5,186,186,"","","In overgrown field, sandy soil.","","",NA,"Purple Fl., milky sap","","",NA,"",NA,NA,"","United States","Wisconsin","Adams","","By 18th Lane of CTH Z [N of Monroe Center]","",44.13362,-89.92885,"106982","1138","T19N R05E sec08","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:dfad3660-820a-4e40-ae9e-cedfc7487172","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=721707",NA
"28691",31923,38736,"638600","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b4025c-f95b-11e2-9dec-002590257708","v0017745WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Stahmann-Lowther, Caryn","194","26857",1973,7,12,193,193,"","","roadside.","","",NA,"'white' flower. Sheet 1 of 2.","","",NA,"",NA,NA,"","United States","Wisconsin","Vernon","","[orig. R2E-err]","",43.70368,-90.6019,"61118","1138","T14N R02W sec10","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:631c3991-7c9b-4d1a-bfae-612dcd2f53e5","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638600",NA
"28692",31924,38737,"638601","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b40432-f95b-11e2-9dec-002590257708","v0017746WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Stahmann-Lowther, Caryn","194","26857",1973,7,12,193,193,"","","roadside.","","",NA,"'white' flower. Sheet 2 of 2.","","",NA,"",NA,NA,"","United States","Wisconsin","Vernon","","[orig. R2E-err]","",43.70368,-90.6019,"61118","1138","T14N R02W sec10","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:dfdc636b-fab4-4469-822f-37aa0d836b83","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638601",NA
