"","X","r.id","id","institutionCode","collectionCode","ownerInstitutionCode","collectionID","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","lifeStage","sex","individualCount","preparations","country","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","rights","rightsHolder","accessRights","recordId","references","scinam"
"37036",40813,47765,"638595","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b3f906-f95b-11e2-9dec-002590257708","v0017740WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Nee, Mike","21765","29813",1981,8,15,227,227,"","","weeds along and in field of cultivated corn (Zea mays): Setaria viridis, S. faberi, Abutilon theophrasti and No. 21762 Panicum miliaceum L. spp. spontaneum (Kitagawa) Tzevelev (this to 2m tall, common along ca. 50m., forming solid stand along plowed soil at edge of field, scattered within the thick stand of corn, absent from adjacent fields)","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Rock","","along Hwy 26, 0.6mi S of S-side of Milton","",42.76205,-88.94069,"61113","569","T04N R13E sec34","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:68dd359b-824c-43f4-b23a-2b7e1e50837e","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638595",NA
"37272",41056,48011,"638587","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b3e614-f95b-11e2-9dec-002590257708","v0017732WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Nee, Mike","21821","29834",1981,9,5,248,248,"","","marshy edge of town road and long ungrazed marsh with brushy patches of Salix spp., Cornus stolonifera, C. racemosa, with Verbena hastata, Thalictrum dasycarpum, Calamagrostis canadensis, Leersia oryzoides, Lactuca canadensis, Pycnanthemum virginianum.. The area emitting a foul stench from large amounts of organic sludge being dumped in it.","","",NA,"fruits erect, green with tinge of purple","","",NA,"",NA,NA,"","United States","Wisconsin","Jefferson","","5mi SW of Fort Atkinson","",42.85635,-88.88083,"61108","569","T05N R14E sec31","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:97bd580e-59e3-47b7-9d2f-f2bfb3258ce5","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638587",NA
"37303",41092,48047,"638142","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af441a-f95b-11e2-9dec-002590257708","v0017287WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Nee, Mike","21935","29835",1981,9,6,249,249,"","","mixture of weeds, prairie plants and marsh plants along railroad tracks and hwy.","","",NA,"fruit green, erect","","",NA,"",NA,NA,"","United States","Wisconsin","Jefferson","","C & NW railroad and Hwy 26-89, 1.5mi NE of Fort Atkinson","",42.96091,-88.82898,"60826","285","T06N R14E sec27","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:5d69da5c-26ea-416b-9fb6-f8dd29086ef9","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638142",NA
"37597",41400,48359,"7953831","WET","","","5e83da49-1cbf-4ff6-8bde-91a7a64c0c5d","PreservedSpecimen","b7f6d975-cd9d-49a1-bc55-7c6259bf68e9","","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",73315,"L.","Asclepias","syriaca","species","","","","","common milkweed","","","","Bio 203 class","","30130",1982,6,28,179,179,"","family on label: Asclepiadaceae","","","",NA,"","","",NA,"",NA,NA,"","United States","Iowa","Bremer","Waverly","RR in NW Waverly.","",42.72677,-92.48096,"WGS84","2000","","mr_sto (2018-09-07 09:06:42)","","georef batch tool 2018-09-07","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","43350.50417","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:b7f6d975-cd9d-49a1-bc55-7c6259bf68e9","http://midwestherbaria.org/portal/collections/individual/index.php?occid=7953831",NA
"37610",41413,48372,"36004","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","fa358348-2b7a-4ecd-afdf-7be8cf668c75","738488","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Galatowitsch, S.","343","30131",1982,6,29,180,180,"","","Old field.","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Wabasha","","Weaver Dunes: T109N R9W SE1/4 & E1/2 NE1/4 of Sec.7; NW1/4 and W1/2 NE1/4 of Sec.8.;;109N;09W;","",44.23311,-91.91724,"WGS84","10000","","mcman110 (2016-03-02 09:56:45)","","georef batch tool 2016-03-02","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42431.45556","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:fa358348-2b7a-4ecd-afdf-7be8cf668c75","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=36004",NA
"37647",41450,48409,"36017","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","b038827e-2247-43cd-9e16-5b06bc865b62","782665","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Tenney, M.","372","30138",1982,7,6,187,187,"","","Damp open meadow with grasses, sedges, Erigeron sp., and thistles.","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Winona","","Whitewater State Park. T107N R10W Sec.29 SE1/4 NE1/4 NW1/4.;Whitewater State Park;107N;10W;29","",44.04203,-92.04933,"WGS84","800","","mcman110 (2016-03-02 11:05:59)","","georef batch tool 2016-03-02; GeoLocate","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42431.50347","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:b038827e-2247-43cd-9e16-5b06bc865b62","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=36017",NA
"37671",41474,48435,"539611","UWGB","VP","","e4db476a-383b-410b-be2a-b796ad6f9926","PreservedSpecimen","ab48c544-f95b-11e2-9dec-002590257708","UWGB11449","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Trick, Joel A.","82 55","30141",1982,7,9,190,190,"","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Brown","","Green Bay, Sschmitt Park","",44.50971,-87.93759,"17020","1138","T24N R21E sec34","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","42713.55903","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:44e2f72b-d398-4507-93f9-b729323724c0","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=539611",NA
"37676",41480,48441,"638598","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b3fea6-f95b-11e2-9dec-002590257708","v0017743WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Fredricks, Michelle","85","30143",1982,7,11,192,192,"","","abandoned and resurfaced railroad bed. Soil rocky.","","",NA,"flowers purple, fragrant, milky sap, plant reaches 1.5m","","",NA,"",NA,NA,"","United States","Wisconsin","Trempealeau","","0.5mi W of Galesville on Hwy 35-54 and 0.4mi S on CTH K","",44.06834,-91.37324,"61116","300","44.068340 N, 91.373240 W","","Georeferencing Quick Reference Guide 2012-10-02","Geolocate","","",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:70bcaf63-f54e-438f-ae05-6d7e7a1262c1","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638598",NA
"37709",41513,48474,"36007","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","56581456-19c7-4cfe-8646-fc65a765bed3","747256","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Galatowitsch, S.","413","30146",1982,7,14,195,195,"","","Meadow.","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Houston","","Caledonia Oaks: T102N R5W E1/2 SW1/4 Sec.24.;Caledonia Oaks, The Nature Conservancy;102N;05W;24","",43.6231,-91.38242,"WGS84","800","","mcman110 (2016-03-01 08:30:38)","","georef batch tool 2016-03-01; GeoLocate","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42430.39583","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:56581456-19c7-4cfe-8646-fc65a765bed3","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=36007",NA
"37796",41603,48565,"539367","UWGB","VP","","e4db476a-383b-410b-be2a-b796ad6f9926","PreservedSpecimen","ab4661be-f95b-11e2-9dec-002590257708","UWGB11227","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Trick, Joel A.","R 332","30156",1982,7,24,205,205,"","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Door","","Ridges Sanctuary, Baileys Harbor Twp.","",45.07694,-87.12235,"16878","1138","T30N R28E sec17","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","42713.55903","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:e8e207f9-ac27-44a1-bbee-035006ea2d86","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=539367",NA
